,날짜,use_start_lng,use_start_lat,최저기온(°C),최고기온(°C),강수유무,주간/주말,대여자수
0,1213,127.289038,36.47895,8.74,7.48,0,1,26.02
1617,1213,127.266949,36.494919,8.74,7.48,0,1,125.32
2688,1213,127.2417,36.496172,8.74,7.48,0,1,11.2
3234,1213,127.249595,36.511492,8.74,7.48,0,1,1.87
1071,1213,127.289234,36.608603,8.74,7.48,0,1,16.41
3227,1213,127.241923,36.508983,8.74,7.48,0,1,2.64
1078,1213,127.302517,36.48525,8.74,7.48,0,1,0.11
1610,1213,127.256346,36.494621,8.74,7.48,0,1,40.04
2695,1213,127.255052,36.49264,8.74,7.48,0,1,19.61
3220,1213,127.249841,36.504353,8.74,7.48,0,1,5.81
1085,1213,127.267736,36.500118,8.74,7.48,0,1,3.93
3213,1213,127.246085,36.50206,8.74,7.48,0,1,4.82
1092,1213,127.300929,36.481362,8.74,7.48,0,1,12.54
1603,1213,127.2592,36.485165,8.74,7.48,0,1,19.87
2702,1213,127.253187,36.475209,8.74,7.48,0,1,14.25
3206,1213,127.2394,36.510443,8.74,7.48,0,1,3.41
1064,1213,127.233825,36.519781,8.74,7.48,0,1,1.85
1099,1213,127.245721,36.517323,8.74,7.48,0,1,3.62
3185,1213,127.233017,36.513226,8.74,7.48,0,1,1.12
1057,1213,127.287455,36.479679,8.74,7.48,0,1,1.84
1148,1213,127.249447,36.504891,8.74,7.48,0,1,5.74
1575,1213,127.259548,36.484589,8.74,7.48,0,1,19.73
2730,1213,127.265634,36.496111,8.74,7.48,0,1,4.5
3150,1213,127.24858,36.494859,8.74,7.48,0,1,18.03
1155,1213,127.267838,36.529558,8.74,7.48,0,1,11.98
3143,1213,127.247663,36.48678,8.74,7.48,0,1,20.59
1162,1213,127.261355,36.491474,8.74,7.48,0,1,16.97
1568,1213,127.252334,36.490511,8.74,7.48,0,1,6.55
2737,1213,127.267443,36.504548,8.74,7.48,0,1,23.1
3136,1213,127.251999,36.4842,8.74,7.48,0,1,8.9
1169,1213,127.262421,36.49216,8.74,7.48,0,1,4.98
3129,1213,127.259645,36.482133,8.74,7.48,0,1,44.6
1176,1213,127.289834,36.497709,8.74,7.48,0,1,5.73
1561,1213,127.256616,36.494054,8.74,7.48,0,1,11.28
2716,1213,127.30001,36.491935,8.74,7.48,0,1,11.44
1589,1213,127.250539,36.511454,8.74,7.48,0,1,3.58
3199,1213,127.241019,36.517241,8.74,7.48,0,1,4.47
1106,1213,127.242839,36.525969,8.74,7.48,0,1,2.28
1596,1213,127.272229,36.501324,8.74,7.48,0,1,-0.34
2016,1213,127.251053,36.515796,8.74,7.48,0,1,5.21
2289,1213,127.328621,36.499711,8.74,7.48,0,1,0.67
4221,1213,127.256688,36.499785,8.74,7.48,0,1,29.05
84,1213,127.240739,36.499051,8.74,7.48,0,1,4.11
2107,1213,127.26228,36.484577,8.74,7.48,0,1,5.86
2198,1213,127.266287,36.484868,8.74,7.48,0,1,-3.21
161,1213,127.24898,36.511775,8.74,7.48,0,1,5.01
4032,1213,127.25786,36.487143,8.74,7.48,0,1,11.8
273,1213,127.264713,36.499512,8.74,7.48,0,1,24.55
343,1213,127.258087,36.486723,8.74,7.48,0,1,3.85
3962,1213,127.265345,36.498407,8.74,7.48,0,1,22.19
3955,1213,127.258282,36.491393,8.74,7.48,0,1,41.53
2114,1213,127.263471,36.495997,8.74,7.48,0,1,67.6
2240,1213,127.258866,36.485572,8.74,7.48,0,1,5.35
70,1213,127.250133,36.489253,8.74,7.48,0,1,14.06
350,1213,127.262975,36.479914,8.74,7.48,0,1,0.3
2191,1213,127.26063,36.483176,8.74,7.48,0,1,21.25
4137,1213,127.245976,36.509827,8.74,7.48,0,1,29.49
266,1213,127.259943,36.497628,8.74,7.48,0,1,42.0
2709,1213,127.266194,36.485519,8.74,7.48,0,1,-2.29
3192,1213,127.234859,36.516338,8.74,7.48,0,1,1.23
1113,1213,127.285486,36.476889,8.74,7.48,0,1,19.03
1120,1213,127.297929,36.601053,8.74,7.48,0,1,5.49
3871,1213,127.26221,36.515906,8.74,7.48,0,1,6.13
1792,1213,127.297101,36.586551,8.74,7.48,0,1,3.42
217,1213,127.28775,36.479902,8.74,7.48,0,1,-3.12
3157,1213,127.25591,36.491253,8.74,7.48,0,1,15.86
2065,1213,127.285866,36.475092,8.74,7.48,0,1,17.88
357,1213,127.263408,36.495654,8.74,7.48,0,1,7.26
3948,1213,127.30418,36.492171,8.74,7.48,0,1,19.54
4039,1213,127.244231,36.505287,8.74,7.48,0,1,5.58
4228,1213,127.271626,36.527208,8.74,7.48,0,1,5.73
77,1213,127.249472,36.490763,8.74,7.48,0,1,0.35
2331,1213,127.241161,36.519924,8.74,7.48,0,1,4.82
1974,1213,127.239786,36.510795,8.74,7.48,0,1,1.9
168,1213,127.250768,36.514231,8.74,7.48,0,1,-0.87
3927,1213,127.256191,36.490722,8.74,7.48,0,1,28.2
1141,1213,127.288635,36.476536,8.74,7.48,0,1,15.45
2723,1213,127.258088,36.489306,8.74,7.48,0,1,30.31
2660,1213,127.270002,36.504864,8.74,7.48,0,1,35.53
3290,1213,127.294162,36.483599,8.74,7.48,0,1,2.79
1015,1213,127.259272,36.498197,8.74,7.48,0,1,1.8
3283,1213,127.269458,36.497987,8.74,7.48,0,1,17.54
1022,1213,127.251684,36.470509,8.74,7.48,0,1,18.91
1638,1213,127.247528,36.490402,8.74,7.48,0,1,4.85
2667,1213,127.264431,36.498105,8.74,7.48,0,1,11.65
3276,1213,127.271983,36.502563,8.74,7.48,0,1,12.62
1029,1213,127.28665,36.594851,8.74,7.48,0,1,3.67
3269,1213,127.261882,36.510627,8.74,7.48,0,1,15.58
1036,1213,127.250358,36.48535,8.74,7.48,0,1,2.59
1631,1213,127.249233,36.505187,8.74,7.48,0,1,17.34
2674,1213,127.244934,36.494836,8.74,7.48,0,1,3.03
3262,1213,127.259334,36.51421,8.74,7.48,0,1,15.47
1043,1213,127.262468,36.496818,8.74,7.48,0,1,7.59
1645,1213,127.289963,36.602844,8.74,7.48,0,1,10.43
3255,1213,127.261888,36.516176,8.74,7.48,0,1,5.45
1008,1213,127.280742,36.471162,8.74,7.48,0,1,7.56
1001,1213,127.244891,36.50313,8.74,7.48,0,1,9.8
1477,1213,127.26861,36.482087,8.74,7.48,0,1,1.96
2828,1213,127.276958,36.50224,8.74,7.48,0,1,2.04
2954,1213,127.232504,36.522384,8.74,7.48,0,1,2.7
1351,1213,127.237564,36.517281,8.74,7.48,0,1,3.34
2947,1213,127.318591,36.494163,8.74,7.48,0,1,21.5
1358,1213,127.240092,36.508769,8.74,7.48,0,1,2.68
1470,1213,127.295283,36.478607,8.74,7.48,0,1,7.31
2835,1213,127.257465,36.486861,8.74,7.48,0,1,15.9
2940,1213,127.269581,36.491393,8.74,7.48,0,1,10.08
1365,1213,127.244961,36.505519,8.74,7.48,0,1,21.0
1372,1213,127.250042,36.500706,8.74,7.48,0,1,18.03
434,1213,127.255734,36.478032,8.74,7.48,0,1,7.23
1183,1213,127.273774,36.469257,8.74,7.48,0,1,14.87
2744,1213,127.273492,36.505807,8.74,7.48,0,1,7.59
3304,1213,127.244723,36.496255,8.74,7.48,0,1,21.49
3297,1213,127.29061,36.477142,8.74,7.48,0,1,7.12
1050,1213,127.311014,36.5011,8.74,7.48,0,1,3.56
1624,1213,127.283881,36.472979,8.74,7.48,0,1,10.69
2653,1213,127.264788,36.511118,8.74,7.48,0,1,17.12
3325,1213,127.265278,36.486225,8.74,7.48,0,1,3.61
980,1213,127.272031,36.501221,8.74,7.48,0,1,-1.2
1659,1213,127.293226,36.609976,8.74,7.48,0,1,7.6
2646,1213,127.259256,36.514773,8.74,7.48,0,1,16.96
3318,1213,127.297462,36.482212,8.74,7.48,0,1,7.77
987,1213,127.259421,36.484841,8.74,7.48,0,1,29.6
994,1213,127.257046,36.495686,8.74,7.48,0,1,17.91
3122,1213,127.254921,36.474023,8.74,7.48,0,1,14.35
3248,1213,127.253096,36.51964,8.74,7.48,0,1,-0.64
3241,1213,127.242543,36.514818,8.74,7.48,0,1,6.5
3178,1213,127.230843,36.507874,8.74,7.48,0,1,1.33
1127,1213,127.303015,36.490436,8.74,7.48,0,1,10.17
3171,1213,127.233817,36.505251,8.74,7.48,0,1,0.5
1134,1213,127.258506,36.506927,8.74,7.48,0,1,25.8
1582,1213,127.241438,36.504368,8.74,7.48,0,1,2.52
973,1213,127.263804,36.495494,8.74,7.48,0,1,32.42
3332,1213,127.304452,36.492532,8.74,7.48,0,1,5.52
2639,1213,127.258136,36.515974,8.74,7.48,0,1,6.48
1666,1213,127.315948,36.500299,8.74,7.48,0,1,7.19
2681,1213,127.289331,36.476651,8.74,7.48,0,1,26.2
1652,1213,127.245599,36.489613,8.74,7.48,0,1,-1.18
3311,1213,127.254081,36.492507,8.74,7.48,0,1,11.76
938,1213,127.239875,36.499373,8.74,7.48,0,1,1.53
1680,1213,127.304708,36.484171,8.74,7.48,0,1,4.44
2625,1213,127.245669,36.514281,8.74,7.48,0,1,1.3
3360,1213,127.27429,36.505758,8.74,7.48,0,1,1.62
3164,1213,127.248864,36.498653,8.74,7.48,0,1,5.02
945,1213,127.259844,36.500817,8.74,7.48,0,1,54.93
952,1213,127.251984,36.490853,8.74,7.48,0,1,6.57
1673,1213,127.307685,36.49915,8.74,7.48,0,1,27.63
2632,1213,127.251742,36.516766,8.74,7.48,0,1,-0.05
3346,1213,127.289957,36.480167,8.74,7.48,0,1,2.93
959,1213,127.247303,36.504762,8.74,7.48,0,1,12.92
3339,1213,127.256961,36.490977,8.74,7.48,0,1,79.49
966,1213,127.26829,36.480811,8.74,7.48,0,1,18.97
3353,1213,127.255838,36.497316,8.74,7.48,0,1,12.99
1344,1213,127.231787,36.517593,8.74,7.48,0,1,0.63
182,1213,127.262992,36.515996,8.74,7.48,0,1,2.85
4249,1213,127.26128,36.494068,8.74,7.48,0,1,17.14
2135,1213,127.261558,36.481014,8.74,7.48,0,1,16.45
2170,1213,127.261902,36.505376,8.74,7.48,0,1,3.88
196,1213,127.26414,36.510086,8.74,7.48,0,1,13.81
399,1213,127.300812,36.483993,8.74,7.48,0,1,7.81
3906,1213,127.293302,36.482616,8.74,7.48,0,1,4.82
238,1213,127.248722,36.495532,8.74,7.48,0,1,21.25
4109,1213,127.288727,36.614142,8.74,7.48,0,1,20.56
2352,1213,127.290782,36.594882,8.74,7.48,0,1,9.95
2051,1213,127.269599,36.499517,8.74,7.48,0,1,16.34
1953,1213,127.234014,36.510417,8.74,7.48,0,1,3.97
4074,1213,127.249936,36.503709,8.74,7.48,0,1,5.15
2142,1213,127.256992,36.487081,8.74,7.48,0,1,13.0
2149,1213,127.253168,36.488107,8.74,7.48,0,1,4.6
427,1213,127.260966,36.497021,8.74,7.48,0,1,79.66
3878,1213,127.265962,36.514743,8.74,7.48,0,1,9.71
4067,1213,127.256734,36.49024,8.74,7.48,0,1,73.76
2156,1213,127.260769,36.503985,8.74,7.48,0,1,-1.36
28,1213,127.307027,36.482323,8.74,7.48,0,1,5.24
231,1213,127.243222,36.496011,8.74,7.48,0,1,18.21
4193,1213,127.284106,36.497816,8.74,7.48,0,1,4.28
3983,1213,127.257635,36.486579,8.74,7.48,0,1,13.7
2345,1213,127.267166,36.525831,8.74,7.48,0,1,2.48
4046,1213,127.250018,36.508518,8.74,7.48,0,1,6.85
2247,1213,127.269667,36.492533,8.74,7.48,0,1,26.0
4284,1213,127.324919,36.492476,8.74,7.48,0,1,2.47
2359,1213,127.258929,36.519525,8.74,7.48,0,1,8.32
1946,1213,127.234265,36.506451,8.74,7.48,0,1,-0.18
21,1213,127.301857,36.486763,8.74,7.48,0,1,0.86
203,1213,127.26201,36.504531,8.74,7.48,0,1,25.39
4102,1213,127.303453,36.601647,8.74,7.48,0,1,2.26
406,1213,127.291207,36.479361,8.74,7.48,0,1,20.74
2058,1213,127.243938,36.493015,8.74,7.48,0,1,16.7
3899,1213,127.2662,36.495258,8.74,7.48,0,1,9.98
2254,1213,127.249509,36.491229,8.74,7.48,0,1,6.34
4277,1213,127.303269,36.49542,8.74,7.48,0,1,5.0
2261,1213,127.294963,36.602172,8.74,7.48,0,1,9.92
2044,1213,127.261898,36.508407,8.74,7.48,0,1,35.43
4298,1213,127.249781,36.491616,8.74,7.48,0,1,9.47
392,1213,127.231915,36.49982,8.74,7.48,0,1,10.51
3920,1213,127.244926,36.497532,8.74,7.48,0,1,11.93
42,1213,127.273195,36.470563,8.74,7.48,0,1,0.56
189,1213,127.264529,36.513549,8.74,7.48,0,1,10.98
2177,1213,127.256564,36.493558,8.74,7.48,0,1,5.89
49,1213,127.252185,36.478211,8.74,7.48,0,1,2.6
385,1213,127.25016,36.502959,8.74,7.48,0,1,7.15
2128,1213,127.266065,36.515344,8.74,7.48,0,1,7.77
4256,1213,127.325863,36.501811,8.74,7.48,0,1,4.37
245,1213,127.297137,36.482649,8.74,7.48,0,1,10.47
3913,1213,127.294955,36.478563,8.74,7.48,0,1,10.28
4060,1213,127.232544,36.499407,8.74,7.48,0,1,1.87
2275,1213,127.309124,36.497413,8.74,7.48,0,1,9.51
2030,1213,127.258868,36.513965,8.74,7.48,0,1,18.52
35,1213,127.276106,36.472293,8.74,7.48,0,1,11.16
4263,1213,127.321039,36.493527,8.74,7.48,0,1,6.16
4116,1213,127.303835,36.481239,8.74,7.48,0,1,20.29
133,1213,127.241406,36.503886,8.74,7.48,0,1,3.77
4270,1213,127.287767,36.513758,8.74,7.48,0,1,-0.72
7,1213,127.294376,36.483899,8.74,7.48,0,1,3.65
2366,1213,127.322189,36.498194,8.74,7.48,0,1,3.62
1939,1213,127.238061,36.502561,8.74,7.48,0,1,1.15
2163,1213,127.258871,36.514066,8.74,7.48,0,1,18.52
4081,1213,127.252771,36.483513,8.74,7.48,0,1,11.73
210,1213,127.270092,36.489489,8.74,7.48,0,1,-5.17
224,1213,127.295566,36.479504,8.74,7.48,0,1,7.57
147,1213,127.251003,36.501881,8.74,7.48,0,1,9.54
3885,1213,127.257618,36.508385,8.74,7.48,0,1,13.02
4291,1213,127.28333,36.486524,8.74,7.48,0,1,-0.04
2037,1213,127.266847,36.512181,8.74,7.48,0,1,1.64
14,1213,127.298764,36.483792,8.74,7.48,0,1,2.8
2268,1213,127.234777,36.504293,8.74,7.48,0,1,4.34
413,1213,127.29728,36.594918,8.74,7.48,0,1,3.03
3892,1213,127.267186,36.504732,8.74,7.48,0,1,21.52
420,1213,127.229371,36.512102,8.74,7.48,0,1,0.61
4095,1213,127.291021,36.479857,8.74,7.48,0,1,3.7
4053,1213,127.269763,36.499854,8.74,7.48,0,1,6.09
322,1213,127.242918,36.494065,8.74,7.48,0,1,6.92
1988,1213,127.249992,36.503494,8.74,7.48,0,1,8.49
4235,1213,127.262608,36.491181,8.74,7.48,0,1,10.33
4144,1213,127.27871,36.473434,8.74,7.48,0,1,6.57
4214,1213,127.301668,36.484908,8.74,7.48,0,1,15.04
91,1213,127.251723,36.498332,8.74,7.48,0,1,4.65
2324,1213,127.258063,36.503066,8.74,7.48,0,1,8.49
287,1213,127.250021,36.482426,8.74,7.48,0,1,9.26
2093,1213,127.268625,36.48151,8.74,7.48,0,1,2.56
2212,1213,127.272159,36.501506,8.74,7.48,0,1,-0.67
2226,1213,127.25661,36.496023,8.74,7.48,0,1,2.44
2079,1213,127.250118,36.495699,8.74,7.48,0,1,11.06
315,1213,127.261554,36.507543,8.74,7.48,0,1,27.67
3990,1213,127.255243,36.486866,8.74,7.48,0,1,14.2
4186,1213,127.311827,36.497844,8.74,7.48,0,1,39.66
119,1213,127.237027,36.520219,8.74,7.48,0,1,1.81
2310,1213,127.249288,36.483121,8.74,7.48,0,1,3.62
3941,1213,127.265018,36.487162,8.74,7.48,0,1,5.65
1995,1213,127.250999,36.504626,8.74,7.48,0,1,3.05
259,1213,127.304154,36.491211,8.74,7.48,0,1,1.82
364,1213,127.250704,36.51497,8.74,7.48,0,1,2.16
4123,1213,127.285131,36.475025,8.74,7.48,0,1,11.27
252,1213,127.262704,36.495181,8.74,7.48,0,1,30.8
56,1213,127.262571,36.479048,8.74,7.48,0,1,5.18
2023,1213,127.257867,36.516062,8.74,7.48,0,1,1.49
2282,1213,127.313487,36.498583,8.74,7.48,0,1,8.32
2121,1213,127.263429,36.506202,8.74,7.48,0,1,20.15
2184,1213,127.25736,36.488186,8.74,7.48,0,1,1.17
371,1213,127.268355,36.468184,8.74,7.48,0,1,9.9
3934,1213,127.298353,36.482894,8.74,7.48,0,1,3.18
4242,1213,127.24453,36.519017,8.74,7.48,0,1,2.74
63,1213,127.250956,36.485164,8.74,7.48,0,1,2.11
2338,1213,127.259974,36.515383,8.74,7.48,0,1,0.07
1967,1213,127.239164,36.518155,8.74,7.48,0,1,3.1
175,1213,127.256407,36.518883,8.74,7.48,0,1,3.2
4130,1213,127.25981,36.488291,8.74,7.48,0,1,15.11
4172,1213,127.252117,36.517449,8.74,7.48,0,1,0.07
140,1213,127.248263,36.50198,8.74,7.48,0,1,22.8
4011,1213,127.240966,36.493701,8.74,7.48,0,1,2.93
4165,1213,127.282393,36.474437,8.74,7.48,0,1,17.21
4207,1213,127.267491,36.527971,8.74,7.48,0,1,2.67
154,1213,127.249758,36.510313,8.74,7.48,0,1,11.94
4025,1213,127.252272,36.494374,8.74,7.48,0,1,5.06
98,1213,127.237259,36.506298,8.74,7.48,0,1,-0.24
4151,1213,127.246996,36.489914,8.74,7.48,0,1,5.86
2100,1213,127.302129,36.487293,8.74,7.48,0,1,-0.18
2205,1213,127.253183,36.511586,8.74,7.48,0,1,-0.69
280,1213,127.255454,36.513898,8.74,7.48,0,1,3.68
329,1213,127.261286,36.503896,8.74,7.48,0,1,40.16
3976,1213,127.304042,36.496106,8.74,7.48,0,1,1.86
4200,1213,127.301503,36.489072,8.74,7.48,0,1,5.85
105,1213,127.229697,36.513094,8.74,7.48,0,1,1.21
2009,1213,127.24582,36.51333,8.74,7.48,0,1,3.27
2296,1213,127.259114,36.517504,8.74,7.48,0,1,8.24
2317,1213,127.264161,36.516144,8.74,7.48,0,1,14.01
3969,1213,127.258432,36.508184,8.74,7.48,0,1,1.09
336,1213,127.256943,36.491374,8.74,7.48,0,1,38.57
2072,1213,127.299684,36.488752,8.74,7.48,0,1,6.85
2233,1213,127.250585,36.484933,8.74,7.48,0,1,1.01
308,1213,127.251225,36.484847,8.74,7.48,0,1,4.92
294,1213,127.255562,36.484743,8.74,7.48,0,1,6.31
3997,1213,127.256158,36.494057,8.74,7.48,0,1,48.53
4179,1213,127.236325,36.500387,8.74,7.48,0,1,3.78
126,1213,127.239129,36.51541,8.74,7.48,0,1,3.67
2002,1213,127.247866,36.511608,8.74,7.48,0,1,7.32
2303,1213,127.260959,36.509331,8.74,7.48,0,1,29.06
4088,1213,127.277269,36.473942,8.74,7.48,0,1,9.57
2086,1213,127.254865,36.474746,8.74,7.48,0,1,16.3
301,1213,127.255413,36.489045,8.74,7.48,0,1,15.77
4004,1213,127.261377,36.50535,8.74,7.48,0,1,0.13
112,1213,127.237042,36.502942,8.74,7.48,0,1,1.12
1960,1213,127.232672,36.518381,8.74,7.48,0,1,0.8
4018,1213,127.261445,36.504057,8.74,7.48,0,1,6.58
4158,1213,127.313054,36.497527,8.74,7.48,0,1,8.11
1981,1213,127.246239,36.499491,8.74,7.48,0,1,7.1
2219,1213,127.257664,36.486458,8.74,7.48,0,1,14.56
2961,1213,127.269877,36.491979,8.74,7.48,0,1,19.12
378,1213,127.256886,36.495246,8.74,7.48,0,1,17.7
2968,1213,127.291523,36.591022,8.74,7.48,0,1,7.26
3451,1213,127.257111,36.487465,8.74,7.48,0,1,9.56
854,1213,127.249401,36.493768,8.74,7.48,0,1,21.82
1722,1213,127.277899,36.469965,8.74,7.48,0,1,5.34
2583,1213,127.241418,36.517565,8.74,7.48,0,1,4.85
3444,1213,127.257419,36.507592,8.74,7.48,0,1,0.64
861,1213,127.269095,36.481223,8.74,7.48,0,1,3.05
868,1213,127.301409,36.487204,8.74,7.48,0,1,7.6
3619,1213,127.271252,36.503824,8.74,7.48,0,1,21.46
679,1213,127.250624,36.48579,8.74,7.48,0,1,9.22
3626,1213,127.262159,36.487447,8.74,7.48,0,1,17.77
497,1213,127.317611,36.496058,8.74,7.48,0,1,13.81
3801,1213,127.23313,36.515171,8.74,7.48,0,1,1.02
504,1213,127.259281,36.514435,8.74,7.48,0,1,11.89
1897,1213,127.253419,36.481052,8.74,7.48,0,1,6.66
2408,1213,127.306277,36.495141,8.74,7.48,0,1,12.01
847,1213,127.246459,36.494778,8.74,7.48,0,1,2.65
3794,1213,127.22993,36.510399,8.74,7.48,0,1,6.9
3458,1213,127.249799,36.504512,8.74,7.48,0,1,8.08
1729,1213,127.26769,36.525145,8.74,7.48,0,1,3.86
1715,1213,127.243027,36.510859,8.74,7.48,0,1,10.09
3437,1213,127.250465,36.512819,8.74,7.48,0,1,3.26
812,1213,127.266978,36.510682,8.74,7.48,0,1,5.06
1743,1213,127.258746,36.515305,8.74,7.48,0,1,12.26
2562,1213,127.231786,36.507032,8.74,7.48,0,1,2.58
3486,1213,127.309493,36.498208,8.74,7.48,0,1,3.58
819,1213,127.256785,36.501591,8.74,7.48,0,1,46.75
3479,1213,127.310543,36.497302,8.74,7.48,0,1,5.39
826,1213,127.244876,36.489645,8.74,7.48,0,1,-0.14
1736,1213,127.298027,36.602414,8.74,7.48,0,1,4.69
2569,1213,127.233675,36.510748,8.74,7.48,0,1,0.82
3472,1213,127.276504,36.474518,8.74,7.48,0,1,13.56
833,1213,127.275964,36.472159,8.74,7.48,0,1,2.15
3465,1213,127.248629,36.511553,8.74,7.48,0,1,1.01
840,1213,127.299023,36.480826,8.74,7.48,0,1,14.63
2576,1213,127.232677,36.518663,8.74,7.48,0,1,0.8
511,1213,127.302367,36.489461,8.74,7.48,0,1,4.14
3787,1213,127.2367,36.506601,8.74,7.48,0,1,3.18
518,1213,127.26509,36.524998,8.74,7.48,0,1,13.61
3864,1213,127.249809,36.519458,8.74,7.48,0,1,0.86
441,1213,127.245724,36.465209,8.74,7.48,0,1,3.99
3857,1213,127.250458,36.512605,8.74,7.48,0,1,3.35
448,1213,127.233067,36.520986,8.74,7.48,0,1,4.38
1925,1213,127.252411,36.493288,8.74,7.48,0,1,10.44
2380,1213,127.261899,36.508227,8.74,7.48,0,1,26.4
3850,1213,127.248956,36.511523,8.74,7.48,0,1,-0.05
455,1213,127.262043,36.507427,8.74,7.48,0,1,26.74
3843,1213,127.25001,36.509118,8.74,7.48,0,1,1.5
462,1213,127.247783,36.488171,8.74,7.48,0,1,6.52
1918,1213,127.243401,36.493183,8.74,7.48,0,1,5.79
2387,1213,127.264454,36.52787,8.74,7.48,0,1,9.13
3836,1213,127.24962,36.506615,8.74,7.48,0,1,1.58
469,1213,127.26726,36.500524,8.74,7.48,0,1,0.82
