,날짜,use_end_lng,use_end_lat,최저기온(°C),최고기온(°C),강수유무,주간/주말,대여자수
0,1213,127.289038,36.47895,8.74,7.48,0,1,9.02
3549,1213,127.27699,36.47095,8.74,7.48,0,1,4.96
756,1213,127.24873,36.502239,8.74,7.48,0,1,27.7
1771,1213,127.263987,36.528441,8.74,7.48,0,1,5.85
2534,1213,127.245049,36.494615,8.74,7.48,0,1,3.41
3542,1213,127.299956,36.485073,8.74,7.48,0,1,21.41
763,1213,127.252239,36.501901,8.74,7.48,0,1,5.18
707,1213,127.236016,36.501136,8.74,7.48,0,1,2.64
3535,1213,127.248062,36.485904,8.74,7.48,0,1,5.23
1764,1213,127.255975,36.510809,8.74,7.48,0,1,5.83
3556,1213,127.258243,36.507789,8.74,7.48,0,1,11.54
2541,1213,127.249278,36.494827,8.74,7.48,0,1,12.27
777,1213,127.249558,36.511749,8.74,7.48,0,1,7.21
3521,1213,127.265907,36.506698,8.74,7.48,0,1,61.77
784,1213,127.250449,36.514286,8.74,7.48,0,1,-0.27
1757,1213,127.254918,36.479067,8.74,7.48,0,1,-0.24
1337,1213,127.229409,36.514352,8.74,7.48,0,1,1.93
770,1213,127.242248,36.511875,8.74,7.48,0,1,12.45
2548,1213,127.248717,36.498982,8.74,7.48,0,1,0.04
791,1213,127.262583,36.518269,8.74,7.48,0,1,2.04
1750,1213,127.324436,36.500307,8.74,7.48,0,1,30.45
3528,1213,127.292663,36.480504,8.74,7.48,0,1,9.58
2527,1213,127.251418,36.487309,8.74,7.48,0,1,10.05
1778,1213,127.261028,36.490011,8.74,7.48,0,1,37.59
742,1213,127.239969,36.508943,8.74,7.48,0,1,0.65
1806,1213,127.305279,36.492846,8.74,7.48,0,1,8.59
2499,1213,127.276105,36.471763,8.74,7.48,0,1,1.05
3612,1213,127.28137,36.49906,8.74,7.48,0,1,12.74
693,1213,127.25243,36.490872,8.74,7.48,0,1,7.65
3605,1213,127.244675,36.487448,8.74,7.48,0,1,1.71
700,1213,127.243434,36.499395,8.74,7.48,0,1,3.84
1799,1213,127.241216,36.51164,8.74,7.48,0,1,11.23
2506,1213,127.255363,36.475171,8.74,7.48,0,1,15.25
3598,1213,127.301324,36.484498,8.74,7.48,0,1,12.59
3507,1213,127.304615,36.496675,8.74,7.48,0,1,7.64
3514,1213,127.263266,36.494596,8.74,7.48,0,1,2.84
476,1213,127.28319,36.477265,8.74,7.48,0,1,19.33
3591,1213,127.300345,36.485543,8.74,7.48,0,1,17.41
2870,1213,127.248994,36.493333,8.74,7.48,0,1,14.81
3584,1213,127.299561,36.503421,8.74,7.48,0,1,2.27
721,1213,127.229857,36.51448,8.74,7.48,0,1,1.13
3577,1213,127.274595,36.494794,8.74,7.48,0,1,2.62
728,1213,127.230874,36.516825,8.74,7.48,0,1,0.27
1785,1213,127.263648,36.488571,8.74,7.48,0,1,18.01
2520,1213,127.253073,36.484625,8.74,7.48,0,1,6.37
714,1213,127.237513,36.506158,8.74,7.48,0,1,1.83
3570,1213,127.259276,36.512653,8.74,7.48,0,1,38.15
3563,1213,127.262997,36.493776,8.74,7.48,0,1,3.29
2555,1213,127.237998,36.504463,8.74,7.48,0,1,2.48
3500,1213,127.317873,36.494792,8.74,7.48,0,1,5.19
805,1213,127.260707,36.512611,8.74,7.48,0,1,13.68
3493,1213,127.290559,36.621048,8.74,7.48,0,1,7.97
3430,1213,127.262638,36.491111,8.74,7.48,0,1,20.15
875,1213,127.303937,36.490897,8.74,7.48,0,1,1.91
2513,1213,127.251569,36.480223,8.74,7.48,0,1,-0.18
3423,1213,127.262017,36.481211,8.74,7.48,0,1,4.71
882,1213,127.260151,36.497901,8.74,7.48,0,1,9.13
1708,1213,127.241516,36.505046,8.74,7.48,0,1,2.92
3416,1213,127.257568,36.487754,8.74,7.48,0,1,12.66
889,1213,127.262309,36.50198,8.74,7.48,0,1,19.69
3409,1213,127.251881,36.494407,8.74,7.48,0,1,0.66
896,1213,127.264262,36.519649,8.74,7.48,0,1,2.74
1701,1213,127.249603,36.50488,8.74,7.48,0,1,1.0
2604,1213,127.24989,36.504114,8.74,7.48,0,1,2.19
3402,1213,127.261713,36.504864,8.74,7.48,0,1,42.26
798,1213,127.25874,36.514673,8.74,7.48,0,1,14.22
903,1213,127.262081,36.480312,8.74,7.48,0,1,19.17
910,1213,127.254928,36.484807,8.74,7.48,0,1,3.41
1694,1213,127.247664,36.486589,8.74,7.48,0,1,2.67
2611,1213,127.250973,36.504884,8.74,7.48,0,1,3.07
3388,1213,127.261263,36.505084,8.74,7.48,0,1,10.51
917,1213,127.255995,36.490854,8.74,7.48,0,1,6.81
3381,1213,127.252734,36.487647,8.74,7.48,0,1,1.78
2597,1213,127.247137,36.499098,8.74,7.48,0,1,-1.88
3395,1213,127.248985,36.486916,8.74,7.48,0,1,2.22
1911,1213,127.250668,36.486754,8.74,7.48,0,1,12.56
924,1213,127.259364,36.500987,8.74,7.48,0,1,87.15
2590,1213,127.239665,36.510333,8.74,7.48,0,1,0.38
3437,1213,127.250465,36.512819,8.74,7.48,0,1,0.95
812,1213,127.266978,36.510682,8.74,7.48,0,1,1.56
1743,1213,127.258746,36.515305,8.74,7.48,0,1,17.4
2562,1213,127.231786,36.507032,8.74,7.48,0,1,0.8
3486,1213,127.309493,36.498208,8.74,7.48,0,1,4.4
819,1213,127.256785,36.501591,8.74,7.48,0,1,57.93
3479,1213,127.310543,36.497302,8.74,7.48,0,1,8.35
826,1213,127.244876,36.489645,8.74,7.48,0,1,-1.24
1736,1213,127.298027,36.602414,8.74,7.48,0,1,3.39
2569,1213,127.233675,36.510748,8.74,7.48,0,1,0.56
3472,1213,127.276504,36.474518,8.74,7.48,0,1,11.21
833,1213,127.275964,36.472159,8.74,7.48,0,1,-0.96
